# header 	Uncorrected len	N (%)	len	GC (%)
>GPLIN_000432200	1116	0.0	1116	0.455
>GPLIN_000432300	279	0.0	279	0.513
>GPLIN_000432400	381	0.0	381	0.391
>GPLIN_000432500	576	0.0	576	0.505
>GPLIN_000432600	1650	0.0	1650	0.552
>GPLIN_000432700	999	0.0	999	0.554
>GPLIN_000432800	2088	0.0	2088	0.557
>GPLIN_000432900	246	0.0	246	0.455
>GPLIN_000433000	549	0.0	549	0.452
>GPLIN_000433100	387	0.0	387	0.504
>GPLIN_001329800	543	0.0	543	0.615
>GPLIN_001329900	1677	0.0	1677	0.603
>GPLIN_001330000	2274	0.0	2274	0.573
>GPLIN_001330100	330	0.0	330	0.564
>GPLIN_001330200	756	0.0	756	0.562
>GPLIN_001330300	2103	0.0	2103	0.535
>GPLIN_001330400	3846	0.0	3846	0.524
>GPLIN_001330600	636	0.0	636	0.417
>GPLIN_001330700	1224	0.0	1224	0.474
>GPLIN_001330800	273	0.0	273	0.505
>GPLIN_001330900	681	0.0	681	0.609
>GPLIN_001331000	1128	0.0	1128	0.529
>GPLIN_001331100	126	0.0	126	0.516
>GPLIN_001331200	576	0.0	576	0.476
>GPLIN_001331300	621	0.0	621	0.49
>GPLIN_001331400	1050	0.0	1050	0.486
>GPLIN_001331500	210	0.0	210	0.51
>GPLIN_001331600	987	0.0	987	0.547
>GPLIN_001331700	1596	0.0	1596	0.523
>GPLIN_001331800	456	0.0	456	0.544
>GPLIN_001331900	6456	0.0	6456	0.584
>GPLIN_001332000	558	0.0	558	0.57
>GPLIN_001332100	441	0.0	441	0.506
>GPLIN_001332200	195	0.0	195	0.451
>GPLIN_001332300	1224	0.0	1224	0.426
>GPLIN_001332400	795	0.0	795	0.55
>GPLIN_001332500	2118	0.0	2118	0.517
>GPLIN_001332600	252	0.0	252	0.611
>GPLIN_001332700	699	0.0	699	0.505
>GPLIN_000433200	2160	0.0	2160	0.536
>GPLIN_000433300	351	0.0	351	0.547
>GPLIN_000433400	720	0.0	720	0.471
>GPLIN_000433500	345	0.0	345	0.551
>GPLIN_000433600	2631	0.0	2631	0.518
>GPLIN_000433700	699	0.0	699	0.455
>GPLIN_000433800	753	0.0	753	0.479
>GPLIN_000433900	1104	0.0	1104	0.483
>GPLIN_000434000	1143	0.0	1143	0.564
>GPLIN_000434100	2031	0.0	2031	0.537
>GPLIN_000434200	1047	0.0	1047	0.457
>GPLIN_000434300	1089	0.0	1089	0.484
>GPLIN_000434400	738	0.0	738	0.546
>GPLIN_000434500	1758	0.0	1758	0.529
>GPLIN_000434600	1179	0.0	1179	0.462
>GPLIN_000434800	2190	0.0	2190	0.466
>GPLIN_000434900	1764	0.0	1764	0.519
>GPLIN_000435000	483	0.0	483	0.493
>GPLIN_000435100	816	0.0	816	0.501
>GPLIN_000435200	1251	0.0	1251	0.52
>GPLIN_000435300	552	0.0	552	0.495
>GPLIN_000435400	864	0.0	864	0.457
>GPLIN_000435500	1704	0.0	1704	0.594
>GPLIN_000435600	1050	0.0	1050	0.598
>GPLIN_000435700	3132	0.0	3132	0.539
>GPLIN_000435800	471	0.0	471	0.561
>GPLIN_000435900	570	0.0	570	0.493
>GPLIN_000436000	684	0.00146	683	0.499
>GPLIN_000436100	2043	0.0	2043	0.523
>GPLIN_000436200	708	0.0	708	0.572
>GPLIN_000436300	390	0.0	390	0.536
>GPLIN_000436400	1350	0.0	1350	0.519
>GPLIN_000436500	309	0.0	309	0.492
>GPLIN_000436600	3750	0.0	3750	0.475
>GPLIN_000436700	1077	0.0	1077	0.53
>GPLIN_000436800	1047	0.0	1047	0.427
>GPLIN_000436900	288	0.0	288	0.542
>GPLIN_000437000	1044	0.0	1044	0.432
>GPLIN_000437100	429	0.0	429	0.473
>GPLIN_001332800	468	0.0	468	0.479
>GPLIN_001332900	1326	0.0	1326	0.521
>GPLIN_001333000	1629	0.0	1629	0.55
>GPLIN_001333100	1215	0.0	1215	0.467
>GPLIN_001333200	318	0.0	318	0.541
>GPLIN_001333300	351	0.0	351	0.513
>GPLIN_001333400	3579	0.0	3579	0.529
>GPLIN_001333500	993	0.0	993	0.507
>GPLIN_001333600	1878	0.0	1878	0.493
>GPLIN_001333700	237	0.0	237	0.519
>GPLIN_001333800	429	0.0	429	0.441
>GPLIN_001333900	540	0.0	540	0.459
>GPLIN_001334000	360	0.0	360	0.508
>GPLIN_001334100	1434	0.0	1434	0.457
>GPLIN_001334200	825	0.0	825	0.472
>GPLIN_001334300	603	0.0	603	0.512
>GPLIN_001334400	249	0.0	249	0.522
>GPLIN_001334500	702	0.0	702	0.504
>GPLIN_000437200	591	0.0	591	0.545
>GPLIN_000437300	708	0.0	708	0.562
>GPLIN_000437400	798	0.0	798	0.462
>GPLIN_000437500	408	0.0	408	0.38
>GPLIN_000437600	1401	0.0	1401	0.449
>GPLIN_001334600	762	0.0	762	0.385
>GPLIN_001334700	2574	0.0	2574	0.573
>GPLIN_001334800	3507	0.0	3507	0.479
>GPLIN_001334900	540	0.0	540	0.494
>GPLIN_001335000	246	0.0	246	0.488
>GPLIN_001335100	324	0.0	324	0.454
>GPLIN_001335200	300	0.0	300	0.49
>GPLIN_001335300	702	0.0	702	0.44
>GPLIN_001335400	1317	0.0	1317	0.553
>GPLIN_001335500	387	0.0	387	0.424
>GPLIN_001335600	417	0.0	417	0.475
>GPLIN_001335700	927	0.0	927	0.553
>GPLIN_001335800	519	0.0	519	0.549
>GPLIN_001335900	3384	0.0	3384	0.521
>GPLIN_001336000	363	0.0	363	0.523
>GPLIN_001336100	420	0.0	420	0.514
>GPLIN_001336200	1116	0.0	1116	0.563
>GPLIN_001336300	2910	0.0	2910	0.49
>GPLIN_001336400	423	0.0	423	0.494
>GPLIN_001336500	3060	0.0	3060	0.499
>GPLIN_001336600	351	0.0	351	0.533
>GPLIN_001336700	501	0.0	501	0.485
>GPLIN_001336800	285	0.0	285	0.491
>GPLIN_000437700	732	0.0	732	0.534
>GPLIN_000437800	474	0.0	474	0.536
>GPLIN_001336900	1074	0.0	1074	0.424
>GPLIN_001337000	318	0.0	318	0.5
>GPLIN_001337100	990	0.0	990	0.447
>GPLIN_001337200	498	0.0	498	0.456
>GPLIN_001337300	267	0.0	267	0.468
>GPLIN_001337400	657	0.0	657	0.49
>GPLIN_001337500	1080	0.0	1080	0.509
>GPLIN_001337600	813	0.0	813	0.544
>GPLIN_001337700	267	0.0	267	0.487
>GPLIN_001337800	255	0.0	255	0.514
>GPLIN_001337900	519	0.0	519	0.495
>GPLIN_001338000	474	0.0	474	0.759
>GPLIN_001338100	270	0.0	270	0.541
>GPLIN_001338200	1092	0.0	1092	0.495
>GPLIN_001338300	1245	0.0	1245	0.594
>GPLIN_001338400	234	0.0	234	0.521
>GPLIN_000437900	2259	0.0	2259	0.558
>GPLIN_000438000	1383	0.0	1383	0.51
>GPLIN_000438100	843	0.0	843	0.499
>GPLIN_000438200	687	0.0	687	0.456
>GPLIN_000438300	1158	0.0	1158	0.511
>GPLIN_000438400	459	0.0	459	0.56
>GPLIN_000438500	876	0.0	876	0.501
>GPLIN_000438600	327	0.0	327	0.572
>GPLIN_000438700	423	0.0	423	0.513
>GPLIN_000438800	1515	0.0	1515	0.566
>GPLIN_000438900	1521	0.000657	1520	0.648
>GPLIN_000439000	1080	0.0	1080	0.667
>GPLIN_000439100	882	0.0	882	0.697
>GPLIN_000439200	1620	0.0	1620	0.708
>GPLIN_001338500	348	0.0	348	0.563
>GPLIN_001338600	1314	0.0	1314	0.501
>GPLIN_001338700	903	0.00111	902	0.537
>GPLIN_001338800	294	0.0	294	0.561
>GPLIN_001338900	1044	0.0	1044	0.566
>GPLIN_001339000	354	0.0	354	0.537
>GPLIN_001339100	543	0.0	543	0.565
>GPLIN_001339200	681	0.0	681	0.511
>GPLIN_001339300	843	0.0	843	0.518
>GPLIN_001339400	294	0.0	294	0.388
>GPLIN_001339500	831	0.0	831	0.378
>GPLIN_001339600	339	0.0	339	0.383
>GPLIN_001339700	264	0.0	264	0.439
>GPLIN_001339800	255	0.0	255	0.427
>GPLIN_001339900	261	0.0	261	0.406
>GPLIN_001340000	756	0.0	756	0.548
>GPLIN_001340100	249	0.0	249	0.631
>GPLIN_001340200	1329	0.0	1329	0.567
>GPLIN_001340300	561	0.0	561	0.538
>GPLIN_001340400	1026	0.0	1026	0.496
>GPLIN_001340500	1815	0.0	1815	0.554
>GPLIN_000439300	1776	0.000563	1775	0.47
>GPLIN_000439400	786	0.0	786	0.523
>GPLIN_000439500	1041	0.0	1041	0.615
>GPLIN_000439600	1098	0.0	1098	0.534
>GPLIN_000439700	3873	0.0	3873	0.523
>GPLIN_000439800	1545	0.0	1545	0.477
>GPLIN_000439900	3669	0.0	3669	0.549
>GPLIN_000440000	1287	0.0	1287	0.483
>GPLIN_000440100	3321	0.0	3321	0.521
>GPLIN_000440200	2880	0.0	2880	0.5
>GPLIN_000440300	1497	0.0	1497	0.579
>GPLIN_000440400	213	0.0	213	0.507
>GPLIN_001340600	237	0.0	237	0.388
>GPLIN_001340700	342	0.0	342	0.556
>GPLIN_001340800	312	0.00321	311	0.457
>GPLIN_001340900	948	0.00105	947	0.429
>GPLIN_001341000	3675	0.0	3675	0.556
>GPLIN_001341100	840	0.0	840	0.538
>GPLIN_001341200	822	0.0	822	0.505
>GPLIN_001341300	396	0.0	396	0.515
>GPLIN_001341400	612	0.0	612	0.502
>GPLIN_000440500	1041	0.0	1041	0.448
>GPLIN_000440600	420	0.0	420	0.621
>GPLIN_000440700	1491	0.0	1491	0.522
>GPLIN_000440800	246	0.0	246	0.541
>GPLIN_000440900	315	0.0	315	0.521
>GPLIN_000441000	273	0.0	273	0.549
>GPLIN_001341500	231	0.0	231	0.494
>GPLIN_001341600	534	0.0	534	0.453
>GPLIN_001341700	750	0.0	750	0.565
>GPLIN_001341800	333	0.0	333	0.468
>GPLIN_001341900	882	0.0	882	0.531
>GPLIN_001342000	663	0.0	663	0.487
>GPLIN_001342100	3609	0.0	3609	0.546
>GPLIN_001342200	246	0.0	246	0.508
>GPLIN_001342300	531	0.0	531	0.563
>GPLIN_001342400	2346	0.0	2346	0.562
>GPLIN_001342500	1209	0.0	1209	0.519
>GPLIN_001342600	1299	0.0	1299	0.574
>GPLIN_001342700	684	0.0	684	0.563
>GPLIN_000441100	1209	0.0	1209	0.558
>GPLIN_000441200	1251	0.0	1251	0.53
>GPLIN_000441300	2145	0.0	2145	0.582
>GPLIN_000441400	606	0.0	606	0.561
>GPLIN_000441500	816	0.0	816	0.576
>GPLIN_000441600	780	0.0	780	0.519
>GPLIN_000441700	456	0.0	456	0.487
>GPLIN_000441800	966	0.0	966	0.524
>GPLIN_000441900	972	0.0	972	0.596
>GPLIN_000442000	1587	0.00063	1586	0.592
>GPLIN_000442100	261	0.0	261	0.536
>GPLIN_000442200	1866	0.0	1866	0.528
>GPLIN_000442300	1341	0.0	1341	0.539
>GPLIN_000442400	564	0.0	564	0.537
>GPLIN_000442500	2232	0.0	2232	0.513
>GPLIN_000442600	684	0.0	684	0.541
>GPLIN_000442700	1074	0.0	1074	0.59
>GPLIN_000442800	1533	0.0	1533	0.552
>GPLIN_000442900	1899	0.0	1899	0.524
>GPLIN_000443000	1608	0.0	1608	0.557
>GPLIN_000443100	1299	0.0	1299	0.598
>GPLIN_000443200	963	0.0	963	0.47
>GPLIN_000443300	828	0.0	828	0.49
>GPLIN_000443400	543	0.0	543	0.435
>GPLIN_000443500	2325	0.0	2325	0.487
>GPLIN_000443600	2382	0.0	2382	0.518
>GPLIN_000443700	2781	0.0	2781	0.533
>GPLIN_000443800	912	0.0	912	0.431
>GPLIN_000443900	324	0.0	324	0.414
>GPLIN_000444000	825	0.0	825	0.405
>GPLIN_000444100	1890	0.0	1890	0.374
>GPLIN_000444200	960	0.00104	959	0.575
>GPLIN_000444300	1923	0.0	1923	0.461
>GPLIN_000444400	309	0.0	309	0.56
>GPLIN_000444500	1806	0.0	1806	0.503
>GPLIN_000444600	2187	0.0	2187	0.504
>GPLIN_000444700	1095	0.0	1095	0.385
>GPLIN_000444800	921	0.0	921	0.514
>GPLIN_001342800	1884	0.0	1884	0.475
>GPLIN_001342900	2100	0.0	2100	0.461
>GPLIN_001343000	1356	0.0	1356	0.507
>GPLIN_001343100	621	0.0	621	0.494
>GPLIN_001343200	468	0.0	468	0.517
>GPLIN_001343300	303	0.0	303	0.502
>GPLIN_001343400	300	0.0	300	0.503
>GPLIN_001343500	381	0.0	381	0.499
>GPLIN_001343600	519	0.0	519	0.57
>GPLIN_001343700	1173	0.0	1173	0.493
>GPLIN_001343800	429	0.0	429	0.462
>GPLIN_001343900	750	0.0	750	0.539
>GPLIN_001344000	408	0.0	408	0.532
>GPLIN_001344100	204	0.0	204	0.52
>GPLIN_001344200	969	0.0	969	0.509
>GPLIN_001344300	1071	0.0	1071	0.478
>GPLIN_001344400	429	0.0	429	0.478
>GPLIN_001344500	1158	0.0	1158	0.498
>GPLIN_001344600	213	0.0	213	0.728
>GPLIN_001344700	1851	0.0	1851	0.508
>GPLIN_000068300	888	0.0	888	0.473
>GPLIN_000068400	867	0.0	867	0.505
>GPLIN_000068500	753	0.0	753	0.491
>GPLIN_000068600	366	0.0	366	0.519
>GPLIN_000068800	330	0.0	330	0.448
>GPLIN_000068900	1044	0.0	1044	0.482
>GPLIN_000069000	744	0.0	744	0.487
>GPLIN_000069100	969	0.0	969	0.472
>GPLIN_000069200	435	0.0	435	0.52
>GPLIN_000069400	252	0.0	252	0.694
>GPLIN_000069500	399	0.0	399	0.481
>GPLIN_000069700	837	0.0	837	0.498
>GPLIN_000069800	2241	0.0	2241	0.503
>GPLIN_000070000	1632	0.0	1632	0.54
>GPLIN_000070200	2316	0.0	2316	0.502
>GPLIN_000070300	1011	0.0	1011	0.528
>GPLIN_000070400	1848	0.0	1848	0.541
>GPLIN_000070500	1623	0.0	1623	0.544
>GPLIN_000070600	1749	0.0	1749	0.595
>GPLIN_000070700	1206	0.0	1206	0.532
>GPLIN_000070800	342	0.0	342	0.582
>GPLIN_000070900	219	0.0	219	0.484
>GPLIN_000071000	1596	0.0	1596	0.534
>GPLIN_000071100	936	0.0	936	0.518
>GPLIN_000071400	462	0.0	462	0.604
>GPLIN_000071600	4362	0.0	4362	0.596
>GPLIN_000072000	1506	0.0	1506	0.525
>GPLIN_000072100	867	0.0	867	0.529
>GPLIN_000072300	417	0.0	417	0.566
>GPLIN_000072400	234	0.0	234	0.457
>GPLIN_000072500	3243	0.0	3243	0.497
>GPLIN_000072600	753	0.0	753	0.558
>GPLIN_000072700	1548	0.0	1548	0.517
>GPLIN_000072800	789	0.0	789	0.474
>GPLIN_000072900	1038	0.0	1038	0.467
>GPLIN_000073000	813	0.0	813	0.47
>GPLIN_000073100	1176	0.0	1176	0.504
>GPLIN_000073200	426	0.0	426	0.484
>GPLIN_000073300	1932	0.0	1932	0.513
>GPLIN_000073400	279	0.0	279	0.563
>GPLIN_000073500	441	0.0	441	0.567
>GPLIN_000073700	852	0.0	852	0.504
>GPLIN_000073800	309	0.0	309	0.505
>GPLIN_000073900	381	0.0	381	0.438
>GPLIN_000074000	261	0.0	261	0.521
>GPLIN_000074200	567	0.0	567	0.508
>GPLIN_000074300	1875	0.0	1875	0.529
>GPLIN_000074400	2091	0.0	2091	0.538
>GPLIN_000074500	1377	0.0	1377	0.501
>GPLIN_000074600	483	0.0	483	0.445
>GPLIN_000074700	933	0.0	933	0.447
>GPLIN_000074800	1977	0.0	1977	0.529
>GPLIN_000074900	540	0.0	540	0.544
>GPLIN_000075000	732	0.0	732	0.567
>GPLIN_000075100	504	0.0	504	0.51
>GPLIN_000075200	369	0.0	369	0.488
>GPLIN_000075300	1026	0.0	1026	0.523
>GPLIN_000075400	1125	0.0	1125	0.616
>GPLIN_000444900	357	0.0	357	0.549
>GPLIN_000445000	2919	0.0	2919	0.561
>GPLIN_000445100	1053	0.00095	1052	0.659
>GPLIN_000445200	960	0.0	960	0.542
>GPLIN_000445300	1200	0.0	1200	0.508
>GPLIN_000445400	2778	0.0	2778	0.465
>GPLIN_000445500	1557	0.0	1557	0.516
>GPLIN_000445600	1905	0.0	1905	0.572
>GPLIN_000445700	315	0.0	315	0.606
>GPLIN_000445800	621	0.0	621	0.544
>GPLIN_000445900	3060	0.0	3060	0.507
>GPLIN_000446000	582	0.0	582	0.5
>GPLIN_000446100	423	0.0	423	0.48
>GPLIN_000446200	432	0.0	432	0.542
>GPLIN_000446300	684	0.0	684	0.579
>GPLIN_000446400	1971	0.0	1971	0.548
>GPLIN_000446500	495	0.0	495	0.497
>GPLIN_000446600	306	0.0	306	0.542
>GPLIN_000446700	990	0.0	990	0.532
>GPLIN_000446800	2142	0.0	2142	0.543
>GPLIN_000446900	495	0.0	495	0.501
>GPLIN_000447000	1197	0.0	1197	0.535
>GPLIN_000447100	1224	0.0	1224	0.506
>GPLIN_000447200	906	0.0	906	0.564
>GPLIN_000447300	1017	0.0	1017	0.515
>GPLIN_000447400	1680	0.0	1680	0.496
>GPLIN_000447500	2832	0.00918	2806	0.531
>GPLIN_000447600	798	0.0	798	0.491
>GPLIN_000447700	609	0.0	609	0.483
>GPLIN_000447800	4644	0.0	4644	0.554
>GPLIN_000447900	1110	0.0	1110	0.531
>GPLIN_000448000	456	0.0	456	0.417
>GPLIN_000448100	333	0.0	333	0.58
