# header 	Uncorrected len	N (%)	len	GC (%)
>pathogens_Gpal_scaffold_5329	1335	0.000749	1334	0.412
>pathogens_Gpal_scaffold_499	75372	0.133	65327	0.442
>pathogens_Gpal_scaffold_2844	3178	0.0	3178	0.482
>pathogens_Gpal_scaffold_2038	6640	0.0	6640	0.357
>pathogens_Gpal_scaffold_4548	1533	0.0	1533	0.374
>pathogens_Gpal_scaffold_2789	3298	0.145	2821	0.446
>pathogens_Gpal_scaffold_7965	1056	0.0	1056	0.447
>pathogens_Gpal_scaffold_2468	4069	0.0	4069	0.267
>pathogens_Gpal_scaffold_6739	1155	0.0026	1152	0.407
>pathogens_Gpal_scaffold_2627	3633	0.0	3633	0.527
>pathogens_Gpal_scaffold_2666	3559	0.000562	3557	0.231
>pathogens_Gpal_scaffold_1150	21929	0.235	16767	0.241
>pathogens_Gpal_scaffold_6667	1166	0.000858	1165	0.468
>pathogens_Gpal_scaffold_24	342157	0.209	270556	0.343
>pathogens_Gpal_scaffold_2683	3529	0.337	2340	0.349
>pathogens_Gpal_scaffold_1770	8736	0.019	8570	0.254
>pathogens_Gpal_scaffold_2401	4301	0.0	4301	0.357
>pathogens_Gpal_scaffold_2545	3885	0.0	3885	0.405
>pathogens_Gpal_scaffold_663	52534	0.189	42581	0.292
>pathogens_Gpal_scaffold_615	58686	0.176	48367	0.339
>pathogens_Gpal_scaffold_1649	9959	0.532	4663	0.464
>pathogens_Gpal_scaffold_2086	6179	0.331	4134	0.366
>pathogens_Gpal_scaffold_6347	1196	0.0	1196	0.36
>pathogens_Gpal_scaffold_3061	2731	0.0	2731	0.313
>pathogens_Gpal_scaffold_8090	1045	0.0	1045	0.491
>pathogens_Gpal_scaffold_3013	2824	0.0	2824	0.538
>pathogens_Gpal_scaffold_8415	1027	0.0	1027	0.42
>pathogens_Gpal_scaffold_1876	8030	0.000125	8029	0.246
>pathogens_Gpal_scaffold_3908	1807	0.0	1807	0.262
>pathogens_Gpal_scaffold_3661	2001	0.0	2001	0.308
>pathogens_Gpal_scaffold_4142	1691	0.0	1691	0.424
>pathogens_Gpal_scaffold_3261	2422	0.0	2422	0.247
>pathogens_Gpal_scaffold_7483	1090	0.0	1090	0.468
>pathogens_Gpal_scaffold_6720	1153	0.0	1153	0.356
>pathogens_Gpal_scaffold_3164	2552	0.0	2552	0.322
>pathogens_Gpal_scaffold_1639	10080	0.588	4154	0.412
>pathogens_Gpal_scaffold_1766	8772	0.721	2446	0.368
>pathogens_Gpal_scaffold_6002	1237	0.0	1237	0.352
>pathogens_Gpal_scaffold_409	93815	0.183	76622	0.366
>pathogens_Gpal_scaffold_6065	1229	0.0	1229	0.326
>pathogens_Gpal_scaffold_7714	1075	0.0	1075	0.446
>pathogens_Gpal_scaffold_2099	6089	0.0	6089	0.414
>pathogens_Gpal_scaffold_8024	1051	0.0	1051	0.351
>pathogens_Gpal_scaffold_6137	1214	0.0	1214	0.454
>pathogens_Gpal_scaffold_4267	1636	0.0	1636	0.339
>pathogens_Gpal_scaffold_2993	2874	0.0	2874	0.406
>pathogens_Gpal_scaffold_2168	5476	0.0382	5267	0.47
>pathogens_Gpal_scaffold_9126	590	0.0	590	0.483
>pathogens_Gpal_scaffold_838	37988	0.236	29035	0.387
>pathogens_Gpal_scaffold_7038	1126	0.0	1126	0.211
>pathogens_Gpal_scaffold_3353	2307	0.0	2307	0.453
>pathogens_Gpal_scaffold_2131	5781	0.0	5781	0.368
>pathogens_Gpal_scaffold_7494	1088	0.0	1088	0.324
>pathogens_Gpal_scaffold_192	160199	0.14	137696	0.406
>pathogens_Gpal_scaffold_8846	1003	0.0	1003	0.433
>pathogens_Gpal_scaffold_7943	1058	0.0	1058	0.361
>pathogens_Gpal_scaffold_3421	2231	0.0	2231	0.308
>pathogens_Gpal_scaffold_8534	1022	0.0	1022	0.303
>pathogens_Gpal_scaffold_5703	1277	0.0219	1249	0.405
>pathogens_Gpal_scaffold_5101	1385	0.0	1385	0.359
>pathogens_Gpal_scaffold_5355	1332	0.000751	1331	0.445
>pathogens_Gpal_scaffold_4210	1659	0.0	1659	0.296
>pathogens_Gpal_scaffold_296	122088	0.209	96609	0.343
>pathogens_Gpal_scaffold_8481	1025	0.00293	1022	0.423
>pathogens_Gpal_scaffold_2688	3518	0.189	2852	0.27
>pathogens_Gpal_scaffold_2856	3152	0.0	3152	0.497
>pathogens_Gpal_scaffold_8470	1026	0.0	1026	0.439
>pathogens_Gpal_scaffold_639	55127	0.0731	51096	0.397
>pathogens_Gpal_scaffold_7759	1068	0.000936	1067	0.362
>pathogens_Gpal_scaffold_2799	3257	0.0	3257	0.332
>pathogens_Gpal_scaffold_1592	10686	0.323	7235	0.413
>pathogens_Gpal_scaffold_7425	1093	0.0	1093	0.353
>pathogens_Gpal_scaffold_455	82799	0.501	41280	0.412
>pathogens_Gpal_scaffold_531	70186	0.206	55756	0.369
>pathogens_Gpal_scaffold_4023	1748	0.0	1748	0.433
>pathogens_Gpal_scaffold_1385	15316	0.0	15316	0.355
>pathogens_Gpal_scaffold_6808	1149	0.0	1149	0.389
>pathogens_Gpal_scaffold_1225	19127	0.0125	18887	0.403
>pathogens_Gpal_scaffold_818	39801	0.182	32572	0.379
>pathogens_Gpal_scaffold_9068	690	0.0	690	0.406
>pathogens_Gpal_scaffold_2027	6716	0.000149	6715	0.284
>pathogens_Gpal_scaffold_352	106939	0.128	93221	0.309
>pathogens_Gpal_scaffold_14	406603	0.0711	377678	0.396
>pathogens_Gpal_scaffold_238	139899	0.247	105321	0.283
>pathogens_Gpal_scaffold_2029	6708	0.383	4136	0.382
>pathogens_Gpal_scaffold_868	36129	0.158	30421	0.284
>pathogens_Gpal_scaffold_3035	2788	0.0	2788	0.423
>pathogens_Gpal_scaffold_4297	1615	0.0	1615	0.476
>pathogens_Gpal_scaffold_3755	1919	0.0	1919	0.246
>pathogens_Gpal_scaffold_2109	5953	0.000168	5952	0.374
>pathogens_Gpal_scaffold_7701	1075	0.0	1075	0.343
>pathogens_Gpal_scaffold_4139	1692	0.0	1692	0.261
>pathogens_Gpal_scaffold_3780	1897	0.0	1897	0.38
>pathogens_Gpal_scaffold_3934	1793	0.0	1793	0.278
>pathogens_Gpal_scaffold_7469	1091	0.0	1091	0.38
>pathogens_Gpal_scaffold_62	265581	0.104	238058	0.38
>pathogens_Gpal_scaffold_2473	4059	0.0	4059	0.349
>pathogens_Gpal_scaffold_3174	2541	0.0	2541	0.375
>pathogens_Gpal_scaffold_7456	1092	0.0156	1075	0.367
>pathogens_Gpal_scaffold_2069	6286	0.115	5563	0.258
>pathogens_Gpal_scaffold_2919	3018	0.0	3018	0.372
>pathogens_Gpal_scaffold_446	84114	0.0519	79751	0.422
>pathogens_Gpal_scaffold_5285	1344	0.0	1344	0.354
>pathogens_Gpal_scaffold_8880	1000	0.008	992	0.469
>pathogens_Gpal_scaffold_4785	1449	0.0	1449	0.333
>pathogens_Gpal_scaffold_8499	1023	0.0156	1007	0.448
>pathogens_Gpal_scaffold_3178	2539	0.0	2539	0.455
>pathogens_Gpal_scaffold_1577	10862	0.0	10862	0.414
>pathogens_Gpal_scaffold_4738	1467	0.0	1467	0.367
>pathogens_Gpal_scaffold_7122	1120	0.0	1120	0.354
>pathogens_Gpal_scaffold_553	67595	0.314	46368	0.258
>pathogens_Gpal_scaffold_8335	1033	0.0	1033	0.378
>pathogens_Gpal_scaffold_6460	1184	0.0	1184	0.369
>pathogens_Gpal_scaffold_1059	25752	0.00268	25683	0.435
>pathogens_Gpal_scaffold_8691	1009	0.0	1009	0.238
>pathogens_Gpal_scaffold_5365	1329	0.0	1329	0.338
>pathogens_Gpal_scaffold_6932	1137	0.0	1137	0.504
>pathogens_Gpal_scaffold_2229	5096	0.0	5096	0.246
>pathogens_Gpal_scaffold_507	73940	0.0217	72335	0.429
>pathogens_Gpal_scaffold_6372	1190	0.0	1190	0.361
>pathogens_Gpal_scaffold_2955	2939	0.23	2264	0.581
>pathogens_Gpal_scaffold_3927	1801	0.0	1801	0.419
>pathogens_Gpal_scaffold_2502	3981	0.37	2509	0.292
>pathogens_Gpal_scaffold_567	65240	0.133	56567	0.365
>pathogens_Gpal_scaffold_2247	5002	0.0	5002	0.357
>pathogens_Gpal_scaffold_128	201247	0.0812	184901	0.406
>pathogens_Gpal_scaffold_54	276203	0.153	233866	0.431
>pathogens_Gpal_scaffold_7981	1055	0.018	1036	0.306
>pathogens_Gpal_scaffold_255	133213	0.136	115117	0.411
>pathogens_Gpal_scaffold_97	221630	0.0611	208096	0.388
>pathogens_Gpal_scaffold_2494	3994	0.143	3424	0.316
>pathogens_Gpal_scaffold_8605	1016	0.0	1016	0.245
>pathogens_Gpal_scaffold_7201	1112	0.0	1112	0.379
>pathogens_Gpal_scaffold_5167	1369	0.0	1369	0.392
>pathogens_Gpal_scaffold_1922	7692	0.569	3316	0.324
>pathogens_Gpal_scaffold_6713	1157	0.0	1157	0.349
>pathogens_Gpal_scaffold_1928	7667	0.632	2821	0.277
>pathogens_Gpal_scaffold_2287	4835	0.0	4835	0.426
>pathogens_Gpal_scaffold_6748	1154	0.00953	1143	0.311
>pathogens_Gpal_scaffold_7666	1078	0.00557	1072	0.387
>pathogens_Gpal_scaffold_2210	5212	0.639	1879	0.356
>pathogens_Gpal_scaffold_2575	3775	0.0572	3559	0.37
>pathogens_Gpal_scaffold_1842	8236	0.00316	8210	0.372
>pathogens_Gpal_scaffold_6648	1165	0.0112	1152	0.52
>pathogens_Gpal_scaffold_5070	1393	0.0	1393	0.255
>pathogens_Gpal_scaffold_3893	1813	0.0	1813	0.372
>pathogens_Gpal_scaffold_3932	1795	0.0	1795	0.269
>pathogens_Gpal_scaffold_4791	1459	0.0	1459	0.364
>pathogens_Gpal_scaffold_7846	1064	0.0	1064	0.222
>pathogens_Gpal_scaffold_3623	2031	0.0	2031	0.265
>pathogens_Gpal_scaffold_6290	1202	0.0	1202	0.49
>pathogens_Gpal_scaffold_718	47176	0.0414	45222	0.367
>pathogens_Gpal_scaffold_5097	1383	0.0	1383	0.278
>pathogens_Gpal_scaffold_2222	5132	0.0	5132	0.281
>pathogens_Gpal_scaffold_593	61031	0.268	44698	0.354
>pathogens_Gpal_scaffold_2130	5786	0.0	5786	0.272
>pathogens_Gpal_scaffold_208	151823	0.17	125983	0.327
>pathogens_Gpal_scaffold_562	65953	0.115	58397	0.34
>pathogens_Gpal_scaffold_1854	8142	0.137	7027	0.376
>pathogens_Gpal_scaffold_2303	4743	0.0	4743	0.474
>pathogens_Gpal_scaffold_382	98796	0.173	81720	0.405
>pathogens_Gpal_scaffold_1941	7590	0.0	7590	0.332
>pathogens_Gpal_scaffold_8330	1032	0.0	1032	0.312
>pathogens_Gpal_scaffold_3395	2265	0.0	2265	0.292
>pathogens_Gpal_scaffold_775	43069	0.129	37526	0.386
>pathogens_Gpal_scaffold_7553	1085	0.0	1085	0.406
>pathogens_Gpal_scaffold_4495	1551	0.0	1551	0.373
>pathogens_Gpal_scaffold_1938	7619	0.0	7619	0.342
>pathogens_Gpal_scaffold_8125	1036	0.0	1036	0.498
>pathogens_Gpal_scaffold_4941	1424	0.0	1424	0.388
>pathogens_Gpal_scaffold_7253	1108	0.0	1108	0.424
>pathogens_Gpal_scaffold_2262	4943	0.224	3835	0.332
>pathogens_Gpal_scaffold_3187	2520	0.0	2520	0.247
>pathogens_Gpal_scaffold_4693	1486	0.0	1486	0.44
>pathogens_Gpal_scaffold_7317	1098	0.0	1098	0.292
>pathogens_Gpal_scaffold_8891	1000	0.031	969	0.466
>pathogens_Gpal_scaffold_318	116455	0.167	97034	0.274
>pathogens_Gpal_scaffold_2062	6375	0.0	6375	0.253
>pathogens_Gpal_scaffold_2413	4270	0.155	3610	0.246
>pathogens_Gpal_scaffold_8051	1050	0.0	1050	0.356
>pathogens_Gpal_scaffold_1302	17571	0.000114	17569	0.448
>pathogens_Gpal_scaffold_7471	1091	0.0055	1085	0.385
>pathogens_Gpal_scaffold_2181	5382	0.27	3930	0.386
>pathogens_Gpal_scaffold_8254	1036	0.0	1036	0.324
>pathogens_Gpal_scaffold_6184	1215	0.0	1215	0.51
>pathogens_Gpal_scaffold_4406	1576	0.00444	1569	0.398
>pathogens_Gpal_scaffold_3609	2045	0.0	2045	0.387
>pathogens_Gpal_scaffold_3677	1987	0.0	1987	0.465
>pathogens_Gpal_scaffold_4227	1652	0.0	1652	0.427
>pathogens_Gpal_scaffold_3277	2402	0.0	2402	0.343
>pathogens_Gpal_scaffold_5105	1382	0.0	1382	0.344
>pathogens_Gpal_scaffold_9015	781	0.0	781	0.405
>pathogens_Gpal_scaffold_8568	1017	0.0	1017	0.34
>pathogens_Gpal_scaffold_159	175177	0.0596	164728	0.451
>pathogens_Gpal_scaffold_844	37812	0.399	22722	0.387
>pathogens_Gpal_scaffold_8084	1047	0.0	1047	0.394
>pathogens_Gpal_scaffold_3662	2006	0.0	2006	0.391
>pathogens_Gpal_scaffold_856	36848	0.15	31318	0.288
>pathogens_Gpal_scaffold_3585	2065	0.0	2065	0.37
>pathogens_Gpal_scaffold_8207	1038	0.0	1038	0.34
>pathogens_Gpal_scaffold_8818	1004	0.0	1004	0.321
>pathogens_Gpal_scaffold_4646	1498	0.0	1498	0.293
>pathogens_Gpal_scaffold_1355	16075	0.000249	16071	0.342
>pathogens_Gpal_scaffold_2022	6796	0.0	6796	0.417
>pathogens_Gpal_scaffold_6961	1133	0.0	1133	0.422
>pathogens_Gpal_scaffold_8874	1001	0.0	1001	0.426
>pathogens_Gpal_scaffold_2754	3390	0.0	3390	0.442
>pathogens_Gpal_scaffold_441	85502	0.0556	80745	0.422
>pathogens_Gpal_scaffold_6577	1172	0.0	1172	0.249
>pathogens_Gpal_scaffold_279	124873	0.0545	118071	0.404
>pathogens_Gpal_scaffold_2137	5749	0.0	5749	0.368
>pathogens_Gpal_scaffold_258	131175	0.2	104924	0.369
>pathogens_Gpal_scaffold_1930	7654	0.774	1730	0.39
>pathogens_Gpal_scaffold_5736	1273	0.0	1273	0.253
>pathogens_Gpal_scaffold_8642	1010	0.0	1010	0.365
>pathogens_Gpal_scaffold_397	95152	0.0885	86732	0.381
>pathogens_Gpal_scaffold_6410	1189	0.0	1189	0.456
>pathogens_Gpal_scaffold_6795	1148	0.0	1148	0.383
>pathogens_Gpal_scaffold_8551	1021	0.0	1021	0.392
>pathogens_Gpal_scaffold_4566	1529	0.0	1529	0.312
>pathogens_Gpal_scaffold_8825	1004	0.000996	1003	0.444
>pathogens_Gpal_scaffold_5474	1310	0.0	1310	0.428
>pathogens_Gpal_scaffold_8420	1028	0.0	1028	0.25
>pathogens_Gpal_scaffold_1978	7233	0.68	2318	0.357
>pathogens_Gpal_scaffold_3906	1811	0.0	1811	0.353
>pathogens_Gpal_scaffold_5111	1381	0.0	1381	0.45
>pathogens_Gpal_scaffold_5067	1392	0.000718	1391	0.391
>pathogens_Gpal_scaffold_6	467892	0.138	403283	0.404
>pathogens_Gpal_scaffold_7049	1127	0.0	1127	0.329
>pathogens_Gpal_scaffold_7938	1058	0.000945	1057	0.447
>pathogens_Gpal_scaffold_6150	1218	0.0	1218	0.387
>pathogens_Gpal_scaffold_2204	5243	0.181	4293	0.414
>pathogens_Gpal_scaffold_4293	1621	0.0	1621	0.225
>pathogens_Gpal_scaffold_4998	1410	0.0	1410	0.46
>pathogens_Gpal_scaffold_6237	1207	0.0	1207	0.42
>pathogens_Gpal_scaffold_1520	11847	0.0	11847	0.347
>pathogens_Gpal_scaffold_261	130613	0.166	108871	0.352
>pathogens_Gpal_scaffold_7746	1068	0.0	1068	0.301
>pathogens_Gpal_scaffold_1997	7112	0.186	5791	0.486
>pathogens_Gpal_scaffold_1931	7654	0.0	7654	0.477
>pathogens_Gpal_scaffold_8013	1051	0.0209	1029	0.262
>pathogens_Gpal_scaffold_6114	1224	0.0	1224	0.497
>pathogens_Gpal_scaffold_6945	1132	0.0	1132	0.327
>pathogens_Gpal_scaffold_3347	2318	0.0	2318	0.27
>pathogens_Gpal_scaffold_2959	2928	0.0	2928	0.342
>pathogens_Gpal_scaffold_1591	10692	0.517	5161	0.355
>pathogens_Gpal_scaffold_8436	1027	0.0127	1014	0.319
>pathogens_Gpal_scaffold_5162	1369	0.0	1369	0.307
>pathogens_Gpal_scaffold_1948	7558	0.33	5063	0.299
>pathogens_Gpal_scaffold_2658	3561	0.000281	3560	0.467
>pathogens_Gpal_scaffold_4862	1443	0.0	1443	0.268
>pathogens_Gpal_scaffold_3374	2283	0.0	2283	0.25
>pathogens_Gpal_scaffold_7078	1123	0.0	1123	0.416
>pathogens_Gpal_scaffold_7580	1084	0.0	1084	0.289
>pathogens_Gpal_scaffold_4591	1519	0.000658	1518	0.375
>pathogens_Gpal_scaffold_3266	2416	0.0	2416	0.383
>pathogens_Gpal_scaffold_3513	2138	0.0	2138	0.357
>pathogens_Gpal_scaffold_437	86233	0.174	71258	0.459
>pathogens_Gpal_scaffold_1702	9335	0.0	9335	0.431
>pathogens_Gpal_scaffold_4703	1486	0.0	1486	0.395
>pathogens_Gpal_scaffold_92	225378	0.0541	213194	0.388
>pathogens_Gpal_scaffold_973	29764	0.147	25397	0.333
>pathogens_Gpal_scaffold_8908	992	0.0	992	0.366
>pathogens_Gpal_scaffold_2617	3660	0.0	3660	0.285
>pathogens_Gpal_scaffold_8450	1023	0.0	1023	0.352
>pathogens_Gpal_scaffold_1464	13158	0.0	13158	0.282
>pathogens_Gpal_scaffold_7862	1063	0.0	1063	0.436
>pathogens_Gpal_scaffold_50	279205	0.0673	260416	0.408
>pathogens_Gpal_scaffold_7799	1068	0.0187	1048	0.459
>pathogens_Gpal_scaffold_6717	1157	0.0	1157	0.277
>pathogens_Gpal_scaffold_9027	766	0.0	766	0.389
>pathogens_Gpal_scaffold_1551	11327	0.0	11327	0.408
>pathogens_Gpal_scaffold_7599	1083	0.0	1083	0.382
>pathogens_Gpal_scaffold_4460	1555	0.00772	1543	0.483
>pathogens_Gpal_scaffold_1830	8331	0.363	5309	0.312
>pathogens_Gpal_scaffold_5925	1240	0.000806	1239	0.336
>pathogens_Gpal_scaffold_7738	1072	0.0	1072	0.39
>pathogens_Gpal_scaffold_8396	1029	0.0	1029	0.25
>pathogens_Gpal_scaffold_3231	2470	0.0	2470	0.39
>pathogens_Gpal_scaffold_4447	1559	0.0	1559	0.234
>pathogens_Gpal_scaffold_3356	2308	0.000433	2307	0.424
>pathogens_Gpal_scaffold_2281	4855	0.0	4855	0.477
>pathogens_Gpal_scaffold_7106	1123	0.0	1123	0.427
>pathogens_Gpal_scaffold_493	76017	0.111	67546	0.382
>pathogens_Gpal_scaffold_335	111528	0.059	104944	0.431
>pathogens_Gpal_scaffold_3554	2099	0.0	2099	0.429
>pathogens_Gpal_scaffold_5813	1263	0.0	1263	0.447
>pathogens_Gpal_scaffold_8975	858	0.0	858	0.305
>pathogens_Gpal_scaffold_2240	5020	0.206	3987	0.305
>pathogens_Gpal_scaffold_1134	22498	0.345	14725	0.284
>pathogens_Gpal_scaffold_8705	1010	0.0	1010	0.282
>pathogens_Gpal_scaffold_3498	2154	0.000464	2153	0.556
>pathogens_Gpal_scaffold_2515	3944	0.0	3944	0.408
>pathogens_Gpal_scaffold_7971	1055	0.0152	1039	0.391
>pathogens_Gpal_scaffold_5599	1292	0.0	1292	0.233
>pathogens_Gpal_scaffold_6046	1231	0.0	1231	0.315
>pathogens_Gpal_scaffold_3595	2062	0.0	2062	0.265
>pathogens_Gpal_scaffold_3714	1953	0.0	1953	0.435
>pathogens_Gpal_scaffold_6913	1138	0.0	1138	0.312
>pathogens_Gpal_scaffold_4823	1452	0.0	1452	0.356
>pathogens_Gpal_scaffold_7295	1108	0.0	1108	0.34
>pathogens_Gpal_scaffold_3868	1830	0.0	1830	0.237
>pathogens_Gpal_scaffold_9000	817	0.0	817	0.46
>pathogens_Gpal_scaffold_6765	1152	0.0	1152	0.517
>pathogens_Gpal_scaffold_5523	1304	0.0023	1301	0.527
>pathogens_Gpal_scaffold_3628	2026	0.0	2026	0.42
>pathogens_Gpal_scaffold_1206	19551	0.242	14817	0.25
>pathogens_Gpal_scaffold_4916	1426	0.0	1426	0.459
>pathogens_Gpal_scaffold_702	48545	0.325	32749	0.429
>pathogens_Gpal_scaffold_3084	2703	0.0	2703	0.363
>pathogens_Gpal_scaffold_7887	1062	0.0	1062	0.371
>pathogens_Gpal_scaffold_3531	2121	0.0	2121	0.393
>pathogens_Gpal_scaffold_8318	1033	0.0116	1021	0.355
>pathogens_Gpal_scaffold_6453	1184	0.0	1184	0.378
>pathogens_Gpal_scaffold_5906	1250	0.0	1250	0.296
>pathogens_Gpal_scaffold_1496	12484	0.329	8377	0.256
>pathogens_Gpal_scaffold_1472	13047	0.532	6101	0.362
>pathogens_Gpal_scaffold_120	204946	0.0947	185544	0.439
>pathogens_Gpal_scaffold_99	220837	0.0753	204214	0.355
>pathogens_Gpal_scaffold_7269	1111	0.0	1111	0.334
>pathogens_Gpal_scaffold_3108	2653	0.0	2653	0.299
>pathogens_Gpal_scaffold_8799	1000	0.001	999	0.246
>pathogens_Gpal_scaffold_3729	1940	0.0	1940	0.38
>pathogens_Gpal_scaffold_1041	26338	0.000266	26331	0.328
>pathogens_Gpal_scaffold_1145	22174	0.12	19506	0.352
>pathogens_Gpal_scaffold_4317	1607	0.0	1607	0.251
>pathogens_Gpal_scaffold_5986	1239	0.0	1239	0.433
>pathogens_Gpal_scaffold_304	119878	0.488	61426	0.388
>pathogens_Gpal_scaffold_1961	7414	0.668	2463	0.461
>pathogens_Gpal_scaffold_4340	1598	0.0	1598	0.24
>pathogens_Gpal_scaffold_8533	1022	0.0	1022	0.425
